id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
239,0.421931237,5.186193955,6.830294723,2014-09-21T22:34:13.000Z,2014-09-21T02:34:12.377Z,2014-09-21T02:34:12.377Z,,2467,12284,54317
240,0.362320174,5.951661997,6.830294723,2014-09-21T22:34:14.000Z,2014-09-21T02:34:13.373Z,2014-09-21T02:34:13.373Z,,2467,12284,54317
246,0.747186877,5.274997064,7.280130207,2014-09-21T22:34:25.000Z,2014-09-21T02:34:24.934Z,2014-09-21T02:34:24.934Z,,2467,54317,12284
247,0.56082656,7.442215952,7.637498617,2014-09-21T22:34:26.000Z,2014-09-21T02:34:25.915Z,2014-09-21T02:34:25.915Z,,2467,12284,54317
248,0.455114022,7.442215952,10.54707478,2014-09-21T22:34:27.000Z,2014-09-21T02:34:26.924Z,2014-09-21T02:34:26.924Z,,2467,12284,54317
259,0.300361059,8.291201582,9.999999843,2014-09-21T22:34:51.000Z,2014-09-21T02:34:50.797Z,2014-09-21T02:34:50.797Z,,2467,12284,54317
260,0.438507754,8.752968,9.999999843,2014-09-21T22:34:52.000Z,2014-09-21T02:34:51.715Z,2014-09-21T02:34:51.715Z,,2467,12284,54317
261,0.398240163,8.752968,10,2014-09-21T22:34:53.000Z,2014-09-21T02:34:52.692Z,2014-09-21T02:34:52.692Z,,2467,12284,54317
264,0.537501904,6.825815848,7.380732289,2014-09-21T22:34:56.000Z,2014-09-21T02:34:55.748Z,2014-09-21T02:34:55.748Z,,2467,12284,54317
265,0.537501904,6.412438836,6.825815848,2014-09-21T22:34:57.000Z,2014-09-21T02:34:56.724Z,2014-09-21T02:34:56.724Z,,2467,54317,12284
266,0.197784599,7.120252048,7.1823791,2014-09-21T22:34:58.000Z,2014-09-21T02:34:57.724Z,2014-09-21T02:34:57.724Z,,2467,54317,12284
267,0.191066623,7.516267659,7.698672922,2014-09-21T22:34:59.000Z,2014-09-21T02:34:58.678Z,2014-09-21T02:34:58.678Z,,2467,12284,54317
268,0.191066623,7.516267659,8.11696229,2014-09-21T22:35:00.000Z,2014-09-21T02:34:59.733Z,2014-09-21T02:34:59.733Z,,2467,12284,54317
271,0.114917404,6.653112629,8.296744618,2014-09-21T22:35:03.000Z,2014-09-21T02:35:02.731Z,2014-09-21T02:35:02.731Z,,2467,12284,54317
272,0.246707737,6.042639445,7.858512339,2014-09-21T22:35:04.000Z,2014-09-21T02:35:03.678Z,2014-09-21T02:35:03.678Z,,2467,12284,54317
